 ,PRP$,VBG,FW,VB,POS,'',VBP,WDT,JJ,WP,VBZ,DT,#,RP,$,NN,),(,VBD,,,.,TO,PRP,RB,:,NNS,NNP,``,WRB,CC,PDT,RBS,RBR,VBN,EX,IN,WP$,CD,MD,NNPS,JJS,JJR,SYM,UH,Correct, Total, Accuracy 
PRP$,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,78,100.0%%,
VBG,0,139,0,0,0,0,0,0,4,0,0,8,0,0,0,26,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,139,191,72.7748691099%%,
FW,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,100.0%%,
VB,0,0,0,330,0,0,5,0,5,0,0,4,0,0,0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,330,374,88.2352941176%%,
POS,0,0,0,0,88,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,90,97.7777777778%%,
'',0,0,0,0,1,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,110,99.0909090909%%,
VBP,0,0,0,17,0,0,152,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,185,82.1621621622%%,
WDT,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,38,48,79.1666666667%%,
JJ,0,0,0,3,0,0,0,0,629,0,0,33,0,0,0,84,0,0,0,1,1,0,0,6,0,1,15,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,629,781,80.5377720871%%,
WP,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,100.0%%,
VBZ,0,0,0,0,2,0,0,0,0,0,257,2,0,0,0,2,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,257,281,91.4590747331%%,
DT,0,0,0,0,0,0,0,0,0,0,0,1021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1021,1029,99.2225461613%%,
#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%%,
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0.0%%,
$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,100.0%%,
NN,0,1,0,6,0,0,2,0,14,0,0,16,0,0,0,1550,0,0,0,1,0,0,0,0,0,1,17,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,1550,1616,95.9158415842%%,
),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,100.0%%,
(,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,100.0%%,
VBD,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,338,1,0,0,0,0,0,0,2,0,0,0,0,0,0,23,0,4,0,0,0,0,0,0,0,0,338,371,91.1051212938%%,
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,574,100.0%%,
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,497,100.0%%,
TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,321,100.0%%,
PRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,220,100.0%%,
RB,0,0,0,2,0,0,0,0,6,0,0,6,0,1,0,6,0,0,0,0,0,0,0,364,0,0,11,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,364,421,86.460807601%%,
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,100.0%%,
NNS,0,0,0,0,0,0,0,0,1,0,6,7,0,0,0,62,0,0,0,1,0,1,0,0,0,674,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,674,772,87.3056994819%%,
NNP,0,0,0,4,0,0,0,0,12,0,0,16,0,0,0,70,0,0,0,3,0,0,0,0,0,2,972,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,972,1090,89.1743119266%%,
``,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,112,100.0%%,
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,100.0%%,
CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,291,100.0%%,
PDT,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,33.3333333333%%,
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,17,18,94.4444444444%%,
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,14,17,82.3529411765%%,
VBN,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,12,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,5,0,0,0,0,0,0,0,0,214,257,83.2684824903%%,
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,17,64.7058823529%%,
IN,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1255,0,0,0,0,0,0,0,0,1255,1263,99.3665874901%%,
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,100.0%%,
CD,0,0,0,3,0,0,0,0,1,0,0,6,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,282,300,94.0%%,
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,127,127,100.0%%,
NNPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,36,50.0%%,
JJS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,11,81.8181818182%%,
JJR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,45,47,95.7446808511%%,
SYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%%,
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,100.0%%,
