 Overall accuracy , correct: 9040, total 9926, Accuracy: 91.073947 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,PRP$,VBG,FW,VBN,",",'',VBP,WDT,JJ,WP,VBZ,DT,#,RP,$,NN,VBD,POS,.,TO,PRP,RB,-LRB-,:,NNS,NNP,``,WRB,CC,LS,PDT,RBS,RBR,CD,-NONE-,EX,IN,WP$,MD,NNPS,-RRB-,JJS,JJR,SYM,VB,UH,Correct, Total, Accuracy 
PRP$,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,100.0%%
VBG,0,90,0,0,0,0,0,0,1,0,0,8,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,18,0,0,0,0,0,0,0,0,0,90,152,59.2105263158%%
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%%
VBN,0,0,0,154,1,0,0,0,9,0,0,5,0,0,0,8,20,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,154,213,72.3004694836%%
",",0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,445,100.0%%
'',0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,100.0%%
VBP,0,0,0,1,0,0,75,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,75,98,76.5306122449%%
WDT,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,25,47,53.1914893617%%
JJ,0,1,0,0,2,0,0,0,422,0,0,25,0,0,0,55,0,0,3,0,0,4,0,0,1,24,0,0,0,0,0,0,0,1,5,0,7,0,0,0,0,0,0,0,0,0,422,550,76.7272727273%%
WP,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,100.0%%
VBZ,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,3,2,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,146,164,89.0243902439%%
DT,0,0,0,0,0,0,0,2,0,0,0,799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,799,802,99.6259351621%%
#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%%
RP,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,23,21.7391304348%%
$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,111,100.0%%
NN,0,3,0,0,2,0,0,0,22,0,0,24,0,0,0,1336,0,0,0,1,0,0,0,0,1,41,0,0,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,0,8,0,1336,1447,92.3289564616%%
VBD,0,0,0,19,0,0,0,0,0,0,0,3,0,0,0,6,299,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,2,0,299,349,85.6733524355%%
POS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,97,98.9690721649%%
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,392,100.0%%
TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,208,100.0%%
PRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,108,100.0%%
RB,0,0,0,0,0,0,0,0,7,0,0,2,0,2,0,2,0,0,1,0,0,197,0,0,0,1,0,0,0,0,0,0,0,0,2,1,25,0,0,0,0,0,0,0,0,0,197,240,82.0833333333%%
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,100.0%%
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,100.0%%
NNS,0,0,0,0,0,0,0,0,3,0,2,9,0,0,0,63,1,0,0,0,1,0,0,0,486,23,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,486,595,81.6806722689%%
NNP,0,0,0,0,4,0,0,0,14,0,0,17,0,0,0,56,0,0,0,1,0,0,0,0,1,823,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,823,929,88.5898815931%%
``,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,100.0%%
WRB,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,94.7368421053%%
CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,218,219,99.5433789954%%
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%%
PDT,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0%%
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0%%
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,2,11,18.1818181818%%
CD,0,0,0,0,0,0,0,0,3,0,0,25,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,364,2,0,2,0,0,0,0,0,0,0,1,0,364,412,88.3495145631%%
-NONE-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,0,0,0,0,0,0,0,0,0,0,0,672,672,100.0%%
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,100.0%%
IN,0,0,0,0,0,0,0,1,2,0,0,1,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954,0,0,0,0,0,0,0,0,0,954,969,98.4520123839%%
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,100.0%%
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,105,105,100.0%%
NNPS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,27,7.40740740741%%
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,11,100.0%%
JJS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,22,95.4545454545%%
JJR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,31,0,0,0,31,34,91.1764705882%%
SYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%%
VB,0,0,0,0,0,0,6,0,1,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,217,0,217,243,89.3004115226%%
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%%
